iter,genotype,score,loss
8,134616,0.3926,1.71502416305542
8,134616,0.3926,1.71502416305542
8,318695,0.3915,1.694687914276123
8,150729,0.3909,1.7178264461517334
8,888034,0.386,1.7006436141967773
8,134354,0.3843,1.749918274116516
8,675917,0.3803,1.7291675123214723
8,469478,0.3801,1.7284686115264893
8,657640,0.3631,1.8139243335723878
8,133334,0.3589,1.809819059753418
8,873605,0.3572,1.7974802574157716
8,269783,0.3469,1.8410516761779785
8,346191,0.3396,1.8091868541717528
8,318883,0.3374,1.8716026807785033
8,493141,0.3355,1.8155775024414063
8,395480,0.3325,1.8861461986541748
8,411685,0.3283,1.882053052520752
8,361725,0.3268,1.855995845413208
8,465222,0.3198,1.8800834922790528
8,148675,0.319,1.9154700597763061
8,411938,0.3163,1.879997784614563
8,137910,0.3162,1.941950337600708
8,1022435,0.3153,1.8881463527679443
